Date,CPI,Hourly Earnings,Jobs,Labor Force,Non Farm Emp,Unemployment Rate
2000-01-01,168.8,,,67.3,131011.0,4.0
2000-02-01,169.8,,,67.3,131120.0,4.1
2000-03-01,171.2,,,67.3,131604.0,4.0
2000-04-01,171.3,,,67.3,131884.0,3.8
2000-05-01,171.5,,,67.1,132105.0,4.0
2000-06-01,172.4,,,67.1,132063.0,4.0
2000-07-01,172.8,,,66.9,132228.0,4.0
2000-08-01,172.8,,,66.9,132234.0,4.1
2000-09-01,173.7,,,66.9,132337.0,3.9
2000-10-01,174.0,,,66.8,132352.0,3.9
2000-11-01,174.1,,,66.9,132556.0,3.9
2000-12-01,174.0,,3.7,67.0,132716.0,3.9
2001-01-01,175.1,,3.8,67.2,132703.0,4.2
2001-02-01,175.8,,3.7,67.1,132788.0,4.2
2001-03-01,176.2,,3.5,67.2,132751.0,4.3
2001-04-01,176.9,,3.4,66.9,132458.0,4.4
2001-05-01,177.7,,3.2,66.7,132408.0,4.3
2001-06-01,178.0,,3.2,66.7,132300.0,4.5
2001-07-01,177.5,,3.3,66.8,132172.0,4.6
2001-08-01,177.5,,3.0,66.5,132021.0,4.9
2001-09-01,178.3,,3.0,66.8,131763.0,5.0
2001-10-01,177.7,,2.7,66.7,131452.0,5.3
2001-11-01,177.4,,2.8,66.7,131144.0,5.5
2001-12-01,176.7,,2.7,66.7,130983.0,5.7
2002-01-01,177.1,,2.7,66.5,130859.0,5.7
2002-02-01,177.8,,2.6,66.8,130737.0,5.7
2002-03-01,178.8,,2.7,66.6,130722.0,5.7
2002-04-01,179.8,,2.6,66.7,130616.0,5.9
2002-05-01,179.8,,2.6,66.7,130632.0,5.8
2002-06-01,179.9,,2.5,66.6,130674.0,5.8
2002-07-01,180.1,,2.5,66.5,130584.0,5.8
2002-08-01,180.7,,2.6,66.6,130581.0,5.7
2002-09-01,181.0,,2.5,66.7,130502.0,5.7
2002-10-01,181.3,,2.6,66.6,130617.0,5.7
2002-11-01,181.3,,2.6,66.4,130616.0,5.9
2002-12-01,180.9,,2.4,66.3,130465.0,6.0
2003-01-01,181.7,,2.6,66.4,130573.0,5.8
2003-02-01,183.1,,2.4,66.4,130441.0,5.9
2003-03-01,184.2,,2.3,66.3,130235.0,5.9
2003-04-01,183.8,,2.3,66.4,130173.0,6.0
2003-05-01,183.5,,2.5,66.4,130197.0,6.1
2003-06-01,183.7,,2.5,66.5,130186.0,6.3
2003-07-01,183.9,,2.2,66.2,130184.0,6.2
2003-08-01,184.6,,2.4,66.1,130153.0,6.1
2003-09-01,185.2,,2.3,66.1,130252.0,6.1
2003-10-01,185.0,,2.5,66.1,130439.0,6.0
2003-11-01,184.5,,2.5,66.1,130480.0,5.8
2003-12-01,184.3,,2.5,65.9,130589.0,5.7
2004-01-01,185.2,,2.6,66.1,130756.0,5.7
2004-02-01,186.2,,2.6,66.0,130821.0,5.6
2004-03-01,187.4,,2.6,66.0,131140.0,5.8
2004-04-01,188.0,,2.6,65.9,131412.0,5.6
2004-05-01,189.1,,2.7,66.0,131697.0,5.6
2004-06-01,189.7,,2.5,66.1,131794.0,5.6
2004-07-01,189.4,,2.8,66.1,131854.0,5.5
2004-08-01,189.5,,2.6,66.0,131939.0,5.4
2004-09-01,189.9,,2.8,65.8,132089.0,5.4
2004-10-01,190.9,,2.9,65.9,132429.0,5.5
2004-11-01,191.0,,2.6,66.0,132503.0,5.4
2004-12-01,190.3,,3.0,65.9,132630.0,5.4
2005-01-01,190.7,,2.8,65.8,132781.0,5.3
2005-02-01,191.8,,2.9,65.9,133034.0,5.4
2005-03-01,193.3,,2.9,65.9,133154.0,5.2
2005-04-01,194.6,,3.0,66.1,133520.0,5.2
2005-05-01,194.4,,2.8,66.1,133689.0,5.1
2005-06-01,194.5,,2.9,66.1,133948.0,5.0
2005-07-01,195.4,,3.1,66.1,134300.0,5.0
2005-08-01,196.4,,3.0,66.2,134502.0,4.9
2005-09-01,198.8,,3.1,66.1,134552.0,5.0
2005-10-01,199.2,,3.0,66.1,134641.0,5.0
2005-11-01,197.6,,3.1,66.0,134997.0,5.0
2005-12-01,196.8,,3.1,66.0,135159.0,4.9
2006-01-01,198.3,,3.1,66.0,135427.0,4.7
2006-02-01,198.7,,3.1,66.1,135733.0,4.8
2006-03-01,199.8,20.04,3.4,66.2,136038.0,4.7
2006-04-01,201.5,20.17,3.4,66.1,136210.0,4.7
2006-05-01,202.5,20.13,3.2,66.1,136249.0,4.6
2006-06-01,202.9,20.22,3.3,66.2,136337.0,4.6
2006-07-01,203.5,20.29,3.1,66.1,136529.0,4.7
2006-08-01,203.9,20.32,3.3,66.2,136692.0,4.7
2006-09-01,202.9,20.4,3.3,66.1,136826.0,4.5
2006-10-01,201.8,20.42,3.2,66.2,136843.0,4.4
2006-11-01,201.5,20.49,3.3,66.3,137060.0,4.5
2006-12-01,201.8,20.58,3.3,66.4,137249.0,4.4
2007-01-01,202.416,20.59,3.3,66.4,137472.0,4.6
2007-02-01,203.499,20.68,3.3,66.3,137560.0,4.5
2007-03-01,205.352,20.72,3.5,66.2,137784.0,4.4
2007-04-01,206.686,20.79,3.3,65.9,137847.0,4.5
2007-05-01,207.949,20.84,3.3,66.0,137992.0,4.4
2007-06-01,208.352,20.95,3.4,66.0,138070.0,4.6
2007-07-01,208.299,20.94,3.2,66.0,138044.0,4.7
2007-08-01,207.917,21.0,3.2,65.8,138013.0,4.6
2007-09-01,208.49,21.04,3.3,66.0,138099.0,4.7
2007-10-01,208.936,21.06,3.2,65.8,138175.0,4.7
2007-11-01,210.177,21.12,3.3,66.0,138290.0,4.7
2007-12-01,210.036,21.16,3.2,66.0,138395.0,5.0
2008-01-01,211.08,21.19,3.2,66.2,138391.0,5.0
2008-02-01,211.693,21.27,3.0,66.0,138329.0,4.9
2008-03-01,213.528,21.36,3.0,66.1,138259.0,5.1
2008-04-01,214.823,21.38,2.8,65.9,138040.0,5.0
2008-05-01,216.632,21.47,3.0,66.1,137851.0,5.4
2008-06-01,218.815,21.52,2.7,66.1,137700.0,5.6
2008-07-01,219.964,21.6,2.7,66.1,137497.0,5.8
