Date,State,Jobs
2026-03-01,AL,2198100.0
2026-02-01,AL,2195300.0
2026-01-01,AL,2183300.0
2025-12-01,AL,2206600.0
2025-11-01,AL,2207400.0
2025-10-01,AL,2201700.0
2025-09-01,AL,2194500.0
2025-08-01,AL,2194100.0
2025-07-01,AL,2189100.0
2025-06-01,AL,2203100.0
2025-05-01,AL,2203800.0
2025-04-01,AL,2198100.0
2025-03-01,AL,2186900.0
2025-02-01,AL,2188400.0
2025-01-01,AL,2173600.0
2026-03-01,AK,328200.0
2026-02-01,AK,326900.0
2026-01-01,AK,322800.0
2025-12-01,AK,324600.0
2025-11-01,AK,325700.0
2025-10-01,AK,333400.0
2025-09-01,AK,346700.0
2025-08-01,AK,357000.0
2025-07-01,AK,360000.0
2025-06-01,AK,354900.0
2025-05-01,AK,343600.0
2025-04-01,AK,332300.0
2025-03-01,AK,328100.0
2025-02-01,AK,325900.0
2025-01-01,AK,321500.0
2026-03-01,AZ,3275800.0
2026-02-01,AZ,3286700.0
2026-01-01,AZ,3255500.0
2025-12-01,AZ,3301100.0
2025-11-01,AZ,3300600.0
2025-10-01,AZ,3275300.0
2025-09-01,AZ,3251900.0
2025-08-01,AZ,3232700.0
2025-07-01,AZ,3191500.0
2025-06-01,AZ,3203400.0
2025-05-01,AZ,3265400.0
2025-04-01,AZ,3288300.0
2025-03-01,AZ,3293600.0
2025-02-01,AZ,3292100.0
2025-01-01,AZ,3274300.0
2026-03-01,AR,1341200.0
2026-02-01,AR,1337100.0
2026-01-01,AR,1332900.0
2025-12-01,AR,1351200.0
2025-11-01,AR,1348600.0
2025-10-01,AR,1348600.0
2025-09-01,AR,1343300.0
2025-08-01,AR,1331900.0
2025-07-01,AR,1320600.0
2025-06-01,AR,1336000.0
2025-05-01,AR,1346000.0
2025-04-01,AR,1343900.0
2025-03-01,AR,1338400.0
2025-02-01,AR,1332000.0
2025-01-01,AR,1324200.0
2026-03-01,CA,18081900.0
2026-02-01,CA,18029600.0
2026-01-01,CA,17992600.0
2025-12-01,CA,18212900.0
2025-11-01,CA,18226900.0
2025-10-01,CA,18152600.0
2025-09-01,CA,17966500.0
2025-08-01,CA,17982300.0
2025-07-01,CA,17907200.0
2025-06-01,CA,18051700.0
2025-05-01,CA,18121800.0
2025-04-01,CA,18071200.0
2025-03-01,CA,17945100.0
2025-02-01,CA,17912800.0
2025-01-01,CA,17858000.0
2026-03-01,CO,2937600.0
2026-02-01,CO,2932000.0
2026-01-01,CO,2926600.0
2025-12-01,CO,2975400.0
2025-11-01,CO,2964900.0
2025-10-01,CO,2972400.0
2025-09-01,CO,2961900.0
2025-08-01,CO,2979700.0
2025-07-01,CO,2977900.0
2025-06-01,CO,2964300.0
2025-05-01,CO,2966200.0
2025-04-01,CO,2957500.0
2025-03-01,CO,2942300.0
2025-02-01,CO,2938700.0
2025-01-01,CO,2941400.0
2026-03-01,CT,1698500.0
2026-02-01,CT,1696000.0
2026-01-01,CT,1699000.0
2025-12-01,CT,1729700.0
2025-11-01,CT,1734700.0
2025-10-01,CT,1730300.0
2025-09-01,CT,1719000.0
2025-08-01,CT,1702300.0
2025-07-01,CT,1714800.0
2025-06-01,CT,1735300.0
2025-05-01,CT,1729900.0
2025-04-01,CT,1716600.0
2025-03-01,CT,1699900.0
2025-02-01,CT,1693400.0
2025-01-01,CT,1692500.0
2026-03-01,DE,490400.0
2026-02-01,DE,486800.0
2026-01-01,DE,486100.0
2025-12-01,DE,495400.0
2025-11-01,DE,494700.0
2025-10-01,DE,494100.0
2025-09-01,DE,495400.0
2025-08-01,DE,498300.0
2025-07-01,DE,500800.0
2025-06-01,DE,501900.0
2025-05-01,DE,500600.0
2025-04-01,DE,496500.0
2025-03-01,DE,490800.0
2025-02-01,DE,487000.0
2025-01-01,DE,484900.0
2026-03-01,DC,717400.0
2026-02-01,DC,714400.0
2026-01-01,DC,712300.0
2025-12-01,DC,729200.0
2025-11-01,DC,731100.0
2025-10-01,DC,732100.0
2025-09-01,DC,744700.0
2025-08-01,DC,739800.0
2025-07-01,DC,765500.0
2025-06-01,DC,760200.0
2025-05-01,DC,757200.0
2025-04-01,DC,759200.0
2025-03-01,DC,758600.0
2025-02-01,DC,757900.0
2025-01-01,DC,757200.0
2026-03-01,FL,10016900.0
2026-02-01,FL,9995600.0
2026-01-01,FL,9949900.0
2025-12-01,FL,10049000.0
2025-11-01,FL,10039100.0
2025-10-01,FL,9973700.0
2025-09-01,FL,9926000.0
2025-08-01,FL,9933300.0
2025-07-01,FL,9856600.0
2025-06-01,FL,9902600.0
2025-05-01,FL,10042200.0
2025-04-01,FL,10074300.0
2025-03-01,FL,10054800.0
2025-02-01,FL,10042100.0
2025-01-01,FL,9978700.0
2026-03-01,GA,4969500.0
2026-02-01,GA,4955300.0
2026-01-01,GA,4947900.0
2025-12-01,GA,5020400.0
2025-11-01,GA,5012500.0
2025-10-01,GA,4988900.0
2025-09-01,GA,4974000.0
2025-08-01,GA,4992300.0
2025-07-01,GA,4970100.0
2025-06-01,GA,4984000.0
2025-05-01,GA,5003500.0
2025-04-01,GA,4993600.0
2025-03-01,GA,4966100.0
2025-02-01,GA,4963600.0
2025-01-01,GA,4933600.0
2026-03-01,HI,644600.0
2026-02-01,HI,644500.0
2026-01-01,HI,639500.0
2025-12-01,HI,649900.0
2025-11-01,HI,647000.0
2025-10-01,HI,643000.0
2025-09-01,HI,638200.0
2025-08-01,HI,634400.0
2025-07-01,HI,638100.0
2025-06-01,HI,638200.0
2025-05-01,HI,644800.0
2025-04-01,HI,644100.0
2025-03-01,HI,646400.0
2025-02-01,HI,644300.0
2025-01-01,HI,640400.0
2026-03-01,ID,871800.0
2026-02-01,ID,866000.0
2026-01-01,ID,862700.0
2025-12-01,ID,878800.0
2025-11-01,ID,882100.0
2025-10-01,ID,883200.0
2025-09-01,ID,882400.0
2025-08-01,ID,888200.0
2025-07-01,ID,891900.0
2025-06-01,ID,888800.0
2025-05-01,ID,883200.0
2025-04-01,ID,878100.0
2025-03-01,ID,859900.0
2025-02-01,ID,859400.0
2025-01-01,ID,857900.0
2026-03-01,IL,6082100.0
2026-02-01,IL,6048000.0
2026-01-01,IL,6031800.0
2025-12-01,IL,6179800.0
2025-11-01,IL,6189600.0
2025-10-01,IL,6203300.0
2025-09-01,IL,6178900.0
2025-08-01,IL,6180300.0
2025-07-01,IL,6187300.0
2025-06-01,IL,6214100.0
2025-05-01,IL,6201100.0
2025-04-01,IL,6145400.0
2025-03-01,IL,6090500.0
2025-02-01,IL,6060500.0
2025-01-01,IL,6039900.0
2026-03-01,IN,3243200.0
2026-02-01,IN,3224400.0
2026-01-01,IN,3205800.0
2025-12-01,IN,3260200.0
2025-11-01,IN,3280500.0
2025-10-01,IN,3283500.0
2025-09-01,IN,3273600.0
2025-08-01,IN,3293400.0
2025-07-01,IN,3240000.0
2025-06-01,IN,3270100.0
2025-05-01,IN,3299400.0
2025-04-01,IN,3276200.0
2025-03-01,IN,3253200.0
2025-02-01,IN,3236500.0
2025-01-01,IN,3222100.0
2026-03-01,IA,1566800.0
2026-02-01,IA,1563300.0
2026-01-01,IA,1553200.0
2025-12-01,IA,1580400.0
2025-11-01,IA,1598300.0
2025-10-01,IA,1597500.0
2025-09-01,IA,1583600.0
2025-08-01,IA,1575500.0
2025-07-01,IA,1575100.0
2025-06-01,IA,1603600.0
2025-05-01,IA,1611400.0
2025-04-01,IA,1603600.0
2025-03-01,IA,1584500.0
2025-02-01,IA,1579700.0
2025-01-01,IA,1570200.0
2026-03-01,KS,1455900.0
2026-02-01,KS,1452600.0
2026-01-01,KS,1448600.0
2025-12-01,KS,1473400.0
2025-11-01,KS,1481700.0
2025-10-01,KS,1475800.0
2025-09-01,KS,1465000.0
2025-08-01,KS,1449500.0
2025-07-01,KS,1446400.0
2025-06-01,KS,1463100.0
2025-05-01,KS,1473800.0
2025-04-01,KS,1473800.0
2025-03-01,KS,1458900.0
2025-02-01,KS,1452200.0
2025-01-01,KS,1439800.0
2026-03-01,KY,2022900.0
